M,N,K
131072,128,7168
1,2240,7168
2,2240,7168
4,2240,7168
8,2240,7168
16,2240,7168
32,2240,7168
64,2240,7168
96,2240,7168
128,2240,7168
160,2240,7168
192,2240,7168
224,2240,7168
256,2240,7168
288,2240,7168
320,2240,7168
352,2240,7168
384,2240,7168
416,2240,7168
448,2240,7168
480,2240,7168
512,2240,7168
1024,2240,7168
2048,2240,7168
4096,2240,7168
6144,2240,7168
8192,2240,7168
10240,2240,7168
12288,2240,7168
14336,2240,7168
16384,2240,7168
32768,2240,7168
65536,2240,7168
98304,2240,7168
131072,2240,7168
1,32768,1536
2,32768,1536
4,32768,1536
8,32768,1536
16,32768,1536
32,32768,1536
64,32768,1536
96,32768,1536
128,32768,1536
160,32768,1536
192,32768,1536
224,32768,1536
256,32768,1536
288,32768,1536
320,32768,1536
352,32768,1536
384,32768,1536
416,32768,1536
448,32768,1536
480,32768,1536
512,32768,1536
1024,32768,1536
2048,32768,1536
4096,32768,1536
6144,32768,1536
8192,32768,1536
10240,32768,1536
12288,32768,1536
